topics,sub_occ,obj_occ,sub_in_obj,subsumption,label
complex adaptive system; graphics processing unit (gpu),0.0014709852136393098,0.003320182523425332,0.0,0.49999999999999994,3
software component; component based software engineering,0.0028134937991982486,0.0009411995675101374,0.00031375748115494126,0.4694084912890032,2
cluster validity; system-on-chip (soc),0.0011685598924838286,0.0042058051226085665,0.0,0.49999999999999994,3
mac layer; radial basis function(rbf),0.006545812022813985,0.006994036663476405,0.0,0.49999999999999994,3
p2p applications; internet,0.000987393411314316,0.5386173316414838,0.001372688980052868,0.6914131714650532,1
equivalence relations; queueing networks,0.0015099612693490856,0.0013879806505536765,5.229291352582355e-06,0.49995802837061426,3
systems on chips; system-on-chip,0.00034428849210301805,0.009251039000596189,2.876110243920295e-05,0.5110782996032159,2
online auction; e-commerce systems,0.0009361471158440554,0.0008011744784787213,2.3531811086620595e-05,0.49941640872589455,1
e-commerce systems; customer retention,0.0008011744784787213,0.0015951311688630397,1.045858270516471e-05,0.5008957014970173,0
computation time; theoretical computer science,0.031067525294738378,0.0018975564900185209,2.614645676291177e-05,0.49821484105247144,1
bayesian network structure; visual programming,0.0005319509825574933,0.0024396123759081786,0.0,0.49999999999999994,3
matrix factorization; service-based systems,0.01159465479484881,0.0003551151742446224,2.6146456762911773e-06,0.4990168264847955,3
optimized evolution; computer arithmetic,1.0104903332164054e-05,0.0003746032020995102,0.0,0.49999999999999994,3
cbir; content-based image retrievals,0.004208692237846328,1.299201856992521e-05,2.3531811086620595e-05,0.2639058961656076,2
group communications; multicasts,0.0006820809749210735,0.00034356671329357775,2.3531811086620595e-05,0.4953224411328128,1
ahp; analytic hierarchy process,0.034773137702404824,0.021934136240080955,0.04865855603577881,0.38694039817080356,2
path planning; mapreduce,0.021156058683504324,0.008758064073748472,1.045858270516471e-05,0.4999034092586361,3
stereoscopic display; stereoscopic displays,0.0008271585156185716,0.0005182371851781278,0.0003216014181838148,0.46807947708392184,2
moving object; bpel,0.00915432064013119,0.0021675017647491894,5.229291352582355e-06,0.4997459246009309,3
router architecture; networks on chips,0.00047565223542115075,0.0001984891725960796,2.091716541032942e-05,0.49156700934912456,1
robotic manipulator; mobile manipulator,0.0033468883393746223,0.0014334527155484148,0.00012027370110939415,0.4933831334912873,0
decision table; reasoning tasks,0.002067174510236989,0.0015792520350553533,2.6146456762911773e-06,0.499946099879864,3
computer network; p2p networks,0.012302719806909734,0.003328122090329175,2.091716541032942e-05,0.49936729321407036,0
peer-to-peer file sharing; p2p,0.0005990764118354402,0.021786893362955136,0.00041049937117771485,0.5918731423214446,1
robotic manipulator; manipulators,0.0033468883393746223,0.01820398335289354,0.0023348785889280212,0.5785750003338985,2
frequent item sets; intelligent systems,0.0006849680901588347,0.00942787480890906,0.0,0.49999999999999994,3
multi-hop wireless networks; pareto front,0.001131749173202374,0.005617604473873773,0.0,0.49999999999999994,3
bpm; business process modeling notation (bpmn),0.007498560051275167,0.00027716306282507113,0.0001150444097568118,0.44496906173547357,0
deep belief networks; bayesian approaches,0.0008935621660870783,0.0016499863583805017,0.0,0.49999999999999994,1
haptic rendering; proportional integral controllers,0.0008740741382321905,0.0003414013768652569,0.0,0.49999999999999994,3
peer-to-peer file sharing; peer to peer (p2p) network,0.0005990764118354402,0.0005240114156536501,5.229291352582355e-06,0.4998278364039278,1
mimo systems; petri nets,0.011518868019857579,0.01428905509048941,0.0,0.49999999999999994,3
discrete time control systems; robot control,0.0001566260016485428,0.006119962525244214,0.0,0.49999999999999994,3
disparity maps; stereo-image,0.0010018289875031218,0.0021379088335621377,0.0003477478749467266,0.5254352433383873,1
nonlinear refractive index; refractometer,0.0005557696832690229,0.0004770957930400313,7.843937028873533e-06,0.4996796322358692,1
debuggers; rf mems,0.0008942839448965186,0.0011353580672495752,0.0,0.49999999999999994,3
multiprocessor system; mining association rules,0.0024547697309064247,0.0012161972939068878,0.0,0.49999999999999994,3
multi objective optimizations (moo); multi-objective optimizations,0.0,0.00020498518188104219,2.6146456762911773e-06,0.9982954311239278,2
optical filter; optical computing,0.0022136956085533678,0.0011151482605852472,1.3073228381455886e-05,0.4991977065677051,0
free-riding; peer to peer (p2p) network,0.0018708506740692302,0.0005240114156536501,5.490755920211472e-05,0.4896054083785256,1
pld; programmable logic controller,0.0018261003878839322,0.0038405850450317805,1.045858270516471e-05,0.5004144443634952,1
wsn; opportunistic routing,0.02977121055298362,0.0010826682141604341,0.00026146456762911774,0.4678978446552469,0
disparity maps; relay node,0.0010018289875031218,0.004066501812386591,0.0,0.49999999999999994,3
